date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:31	18845/18845	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/blog/1-w.jpg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/blog/1-w.jpg	(from https://apdash.themetags.com/blog-no-sidebar.html)
14:40:32	707/707	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Feb%202021%2013:40:32%20GMT	https://apdash.themetags.com/blog-single.html	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/blog-single.html	(from https://apdash.themetags.com/blog-no-sidebar.html)
14:40:32	19124/19124	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/blog/2-w.jpg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/blog/2-w.jpg	(from https://apdash.themetags.com/blog-no-sidebar.html)
14:40:34	21809/21809	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/blog/4-w.jpg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/blog/4-w.jpg	(from https://apdash.themetags.com/blog-no-sidebar.html)
14:40:34	21809/21809	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/blog/3-w.jpg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/blog/3-w.jpg	(from https://apdash.themetags.com/blog-no-sidebar.html)
14:40:39	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/webfonts/fa-brands-400.eot	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/webfonts/fa-brands-400.eot	(from https://apdash.themetags.com/assets/css/main.css)
14:40:40	76612/76612	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/webfonts/fa-brands-400.woff2	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/webfonts/fa-brands-400.woff2	(from https://apdash.themetags.com/assets/css/main.css)
14:40:40	178/178	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/curve-shape-top.svg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/curve-shape-top.svg	(from https://apdash.themetags.com/index-6.html)
14:40:40	518/518	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/wave-shap.svg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/wave-shap.svg	(from https://apdash.themetags.com/index-3.html)
14:40:40	707/707	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Feb%202021%2013:40:41%20GMT	https://apdash.themetags.com/assets/img/50C3B42D.png	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/50C3B42D.png	(from https://apdash.themetags.com/assets/img/hero-new-bg.svg)
14:40:41	390348/390348	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/hero-angle-2.svg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/hero-angle-2.svg	(from https://apdash.themetags.com/index-2.html)
14:40:41	707/707	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Feb%202021%2013:40:42%20GMT	https://apdash.themetags.com/assets/img/288.323	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/288.323	(from https://apdash.themetags.com/assets/img/offer-bg.svg)
14:40:42	707/707	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Feb%202021%2013:40:43%20GMT	https://apdash.themetags.com/assets/img/195.323	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/195.323	(from https://apdash.themetags.com/assets/img/hero-angle-2.svg)
14:40:42	82453/82453	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/cta-bg.jpg	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/cta-bg.jpg	(from https://apdash.themetags.com/index.html)
14:40:43	79444/79444	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/webfonts/fa-solid-900.woff2	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/webfonts/fa-solid-900.woff2	(from https://apdash.themetags.com/assets/css/main.css)
14:40:43	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/webfonts/fa-brands-400.eot?	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/webfonts/fa-brands-400d41d.eot	(from https://apdash.themetags.com/assets/css/main.css)
